Sector,Window,Selection,Regression,Scale,Response,Lag,Variable,Target,Goal,Method,Feature,In-AUC,In-Brier,In-LL,Out-AUC,Out-Brier,Out-LL
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,logistic,lasso_company,0.6923,0.1472,0.4644,0.3687,0.2168,0.9654
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,logistic,lasso_day,0.705,0.152,0.4697,0.4362,0.2116,0.9939
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,asym logistic,none,0.8635,0.1493,0.4594,0.5274,0.2782,1.273
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,asym logistic,lasso,0.7562,0.192,0.5607,0.4202,0.2693,1.0598
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,asym logistic,lasso_company,0.697,0.205,0.594,0.3615,0.2693,0.997
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,asym logistic,lasso_day,0.7092,0.2093,0.6002,0.4422,0.2654,1.0448
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,xgboost,none,1,0,0.0025,0.6318,0.2181,1.1629
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,xgboost,lasso,1,0.0004,0.0124,0.5336,0.2364,1.4214
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,xgboost,lasso_company,1,0.0005,0.0148,0.4739,0.2449,1.4821
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,predict,xgboost,lasso_day,1,0.0012,0.0198,0.5317,0.2407,1.281
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,logistic,none,0.6166,0.1615,0.4965,0.2224,0.2158,1.1504
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,logistic,lasso,0.6166,0.1615,0.4965,0.2224,0.2158,1.1504
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,logistic,lasso_company,0.6166,0.1615,0.4965,0.2224,0.2158,1.1504
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,logistic,lasso_day,0.6166,0.1615,0.4965,0.2224,0.2158,1.1504
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,asym logistic,none,0.6229,0.2238,0.6327,0.2398,0.2768,1.1765
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,asym logistic,lasso,0.6229,0.2238,0.6327,0.2398,0.2768,1.1765
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,asym logistic,lasso_company,0.6229,0.2238,0.6327,0.2398,0.2768,1.1765
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,asym logistic,lasso_day,0.6229,0.2238,0.6327,0.2398,0.2768,1.1765
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,xgboost,none,1,0.0008,0.0182,0.712,0.218,1.0149
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,xgboost,lasso,1,0.0008,0.0182,0.712,0.218,1.0149
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,xgboost,lasso_company,1,0.0008,0.0182,0.712,0.218,1.0149
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,explain,xgboost,lasso_day,1,0.0008,0.0182,0.712,0.218,1.0149
