,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,solana,tron,staked-ether,dogecoin
2025-01-30 10:00:00,2090106317164.876,388572103659.4458,139394298104.60345,98940552039.00168,179388711885.80612,52664092317.22397,117169854812.16753,21347575696.438618,30495701791.136784,49132316039.60074
2025-01-30 11:00:00,2087161779273.0767,387482505288.9898,139386638322.32477,99004675508.14304,178945078310.79465,52661486185.64597,117266664024.21925,21329686402.913395,30496580758.875046,49033864451.28579
2025-01-30 12:00:00,2087800184583.9817,388083600300.4569,139392909094.5101,98910748208.5252,178952745249.66595,52668786900.68753,117426084584.41185,21382095603.810154,30553817855.27949,49048575840.97941
2025-01-30 13:00:00,2082263260916.2437,388149377595.3895,139389734212.31473,98986124041.70401,178237127862.90567,52668793706.62008,116795744320.03041,21384647988.378246,30537991606.07143,48957726913.951805
2025-01-30 14:00:00,2078722839831.4814,392251930395.9156,139388705059.0321,98998291568.88998,178292270311.31744,52692230154.051155,116895928501.52548,21425696394.258553,30843813973.24176,49092107744.15767
2025-01-30 15:00:00,2103995956099.3372,395130136746.01953,139386497207.16483,99701841280.56667,180173994670.98935,52820657868.256714,117779042713.64532,21627213657.343582,31029413376.297466,49967107698.272
2025-01-30 16:00:00,2095561015855.7952,393162529211.5053,139418578112.77243,99263522436.45291,180279447643.53915,52986313252.29661,118234258654.39447,21559150493.314167,30891999781.895176,49813008946.8208
2025-01-30 17:00:00,2095963271156.5557,394762851580.7635,139402378584.84424,99443821692.99564,180037229436.5131,53102350099.12253,118245138926.28253,21692136653.122395,30973478228.508762,49545651728.5934
2025-01-30 18:00:00,2085295057985.4314,394063893694.9666,139403771837.2109,99392568429.90863,179470014955.8836,53104283141.43643,117236636057.36633,21694069832.298756,31020528093.97344,49345087437.202995
2025-01-30 19:00:00,2092073947985.9143,394223045701.3479,139421069726.616,99419337846.88777,179985000438.80615,53099681835.37265,117376986920.56775,21687528191.33384,31040154778.983433,49471680681.804985
2025-01-30 20:00:00,2096806666048.443,394715587276.1806,139409693711.54352,99386413192.01591,180613948767.0753,53100023785.816185,117362477755.27998,21760552941.891068,31015845333.547535,49494343954.20488
2025-01-30 21:00:00,2083627757498.6628,390772445204.48413,139432413039.44824,99032300714.2089,180158698088.62143,53175688899.46588,116426159801.65239,21642105817.665836,30747269190.142838,49100091616.16665
2025-01-30 22:00:00,2083238365438.547,390774418568.5171,139420737783.0529,98968907369.23695,180280033523.95868,53194699310.71014,116960515445.00137,21674855853.330566,30704579908.69806,49016603205.30914
2025-01-30 23:00:00,2082146283598.9119,393045299024.39685,139422424006.4314,99028013219.58443,180911315269.3925,53108998882.4249,116868676859.38716,21708842468.610413,30929472330.42289,49079974525.939865
2025-01-31 00:00:00,2075524236404.4956,391310619459.9277,139420373655.57816,98752675203.69891,180641222082.0127,53106372135.6676,116255078290.88249,21706415385.87343,30782765341.497467,48961120575.16746
2025-01-31 01:00:00,2078899150639.6797,393702184743.0744,139432408084.47598,99000367610.31769,179452017231.24298,53105208423.92861,116224660488.96443,21742169646.328617,30975828734.97617,49017766860.43164
2025-01-31 02:00:00,2076078651674.884,394163901226.3383,139433387754.229,98949028478.12018,179268126961.95276,53108243273.61529,115736639582.50551,21845965055.97233,31005011486.619164,48974755804.18199
2025-01-31 03:00:00,2069832174379.3752,391900058871.03345,139434764415.57715,98941660593.60895,179019378904.4267,53113184902.84881,115649059152.92543,21820087108.43031,30839687485.621864,48636559013.73365
2025-01-31 04:00:00,2066995040778.033,389475596833.03705,139418071852.5071,98556872047.62115,178496568450.53833,53110087894.09572,114894802800.33153,21700862589.26414,30635048733.257893,48431874067.6835
2025-01-31 05:00:00,2060806204308.0117,387566601403.238,139421826651.161,98294729511.12535,177392362805.08658,53108207547.98032,114629975256.6756,21621123199.79689,30494055643.052185,48180088462.65239
2025-01-31 06:00:00,2066385796000.2498,391037305864.66296,139419522801.25574,98887194323.60214,177981586745.73547,53108462963.68687,115510430023.51566,21771551250.147747,30708287846.266525,48417056678.22007
2025-01-31 07:00:00,2070832883912.4705,392879599900.1007,139416038084.6635,99072958354.63326,178207244714.33694,53108295773.871796,115708962546.40408,21900841700.38465,30919890655.87787,48619786409.66035
2025-01-31 08:00:00,2065411902007.7122,390718009558.59314,139426182855.0046,98804507667.53883,177592656806.70248,53113018001.31682,114855841788.17209,21852367572.030407,30751312888.95412,48507577920.945625
